,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_name,track_number,short_album_name,release_date,album_cover,duration_seconds,track1,last_track
182,0.443,0.403,0,-8.339,1,0.0322,0.631,0.0,0.111,0.41,143.462,4,Let It Be ,6,Let It Be,1970-05-08,https://i.scdn.co/image/ab67616d0000b27384243a01af3c77b56fe01ab1,243.027,0,0
109,0.338,0.47,4,-10.636,0,0.0552,0.258,0.000205,0.889,0.107,80.724,4,A Day In The Life ,13,Sgt. Pepper's Lonely Hearts Club Band,1967-06-01,https://i.scdn.co/image/ab67616d0000b27348eeac769c253bfc05a0d1fc,330.92,0,1
60,0.533,0.66,4,-7.694,1,0.0337,0.346,0.0,0.26,0.818,131.975,4,You're Going To Lose That Girl ,6,Help!,1965-08-06,https://i.scdn.co/image/ab67616d0000b273e3e3b64cea45265469d4cafa,138.667,0,0
49,0.629,0.545,4,-11.466,1,0.0348,0.473,5.08e-05,0.0854,0.735,162.438,4,Honey Don't ,10,Beatles For Sale,1964-12-04,https://i.scdn.co/image/ab67616d0000b27355612ece447bec5d62c68375,177.427,0,0
110,0.585,0.7,0,-7.966,1,0.0993,0.256,0.0111,0.668,0.493,95.695,4,Sgt. Pepper's Lonely Hearts Club Band ,1,Sgt. Pepper's Lonely Hearts Club Band,1967-06-01,https://i.scdn.co/image/ab67616d0000b27348eeac769c253bfc05a0d1fc,156.44,1,0
62,0.629,0.551,0,-8.281,1,0.0256,0.22,0.0,0.0432,0.685,113.155,3,It's Only Love ,9,Help!,1965-08-06,https://i.scdn.co/image/ab67616d0000b273e3e3b64cea45265469d4cafa,116.48,0,0
84,0.29,0.247,7,-12.125,1,0.0383,0.921,0.00565,0.0917,0.36,165.361,4,"Here, There And Everywhere ",5,Revolver,1966-08-05,https://i.scdn.co/image/ab67616d0000b27328b8b9b46428896e6491e97a,144.88,0,0
2,0.591,0.605,0,-10.925,1,0.0413,0.707,0.0,0.309,0.882,133.348,4,Misery ,2,Please Please Me,1963-03-22,https://i.scdn.co/image/ab67616d0000b273dbeec63ad914c973e75c24df,108.547,0,0
100,0.318,0.53,2,-6.521,1,0.0369,0.0907,0.0,0.145,0.423,137.423,3,Lucy In The Sky With Diamonds ,3,Sgt. Pepper's Lonely Hearts Club Band,1967-06-01,https://i.scdn.co/image/ab67616d0000b27348eeac769c253bfc05a0d1fc,207.68,0,0
71,0.425,0.369,4,-11.876,1,0.0379,0.183,0.00126,0.112,0.65,176.625,3,Norwegian Wood (This Bird Has Flown) ,2,Rubber Soul,1965-12-03,https://i.scdn.co/image/ab67616d0000b273ed801e58a9ababdea6ac7ce4,124.693,0,0
95,0.581,0.28,4,-9.091,0,0.0381,0.936,1.56e-05,0.305,0.813,137.831,4,Eleanor Rigby ,2,Revolver,1966-08-05,https://i.scdn.co/image/ab67616d0000b27328b8b9b46428896e6491e97a,126.533,0,0
169,0.419,0.152,0,-12.126,1,0.0277,0.326,0.0034,0.113,0.239,80.608,4,Golden Slumbers ,14,Abbey Road,1969-09-26,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,91.76,0,0
108,0.575,0.948,0,-5.381,1,0.0561,0.000202,0.369,0.513,0.856,118.758,4,Sgt. Pepper's Lonely Hearts Club Band (Reprise) ,12,Sgt. Pepper's Lonely Hearts Club Band,1967-06-01,https://i.scdn.co/image/ab67616d0000b27348eeac769c253bfc05a0d1fc,80.60000000000001,0,0
98,0.361,0.857,7,-6.6,1,0.163,0.0341,0.00624,0.86,0.523,95.114,4,Sgt. Pepper's Lonely Hearts Club Band ,1,Sgt. Pepper's Lonely Hearts Club Band,1967-06-01,https://i.scdn.co/image/ab67616d0000b27348eeac769c253bfc05a0d1fc,122.133,1,0
57,0.398,0.392,7,-9.05,1,0.0282,0.207,0.0,0.102,0.378,184.267,3,You've Got To Hide Your Love Away ,3,Help!,1965-08-06,https://i.scdn.co/image/ab67616d0000b273e3e3b64cea45265469d4cafa,129.12,0,0
39,0.721,0.527,9,-7.224,1,0.0293,0.744,0.0,0.186,0.641,123.902,4,I'll Be Back ,13,A Hard Day's Night,1964-07-10,https://i.scdn.co/image/ab67616d0000b273e230f303815e82a86713eedd,144.187,0,1
127,0.401,0.556,2,-10.532,1,0.0513,0.0828,0.000359,0.589,0.654,85.206,4,I Am The Walrus ,6,Magical Mystery Tour,1967-11-27,https://i.scdn.co/image/ab67616d0000b273692d9189b2bd75525893f0c1,275.867,0,0
81,0.563,0.705,2,-9.232,1,0.103,0.0103,0.0,0.0552,0.822,176.732,4,Run For Your Life ,14,Rubber Soul,1965-12-03,https://i.scdn.co/image/ab67616d0000b273ed801e58a9ababdea6ac7ce4,141.093,0,1
114,0.605,0.546,5,-7.176,1,0.0486,0.166,0.000121,0.0436,0.568,115.28,4,Fixing A Hole ,5,Sgt. Pepper's Lonely Hearts Club Band,1967-06-01,https://i.scdn.co/image/ab67616d0000b27348eeac769c253bfc05a0d1fc,207.84,0,0
15,0.416,0.563,1,-8.724,0,0.0298,0.207,0.0,0.343,0.9,77.56,4,All My Loving ,3,With The Beatles,1963-11-22,https://i.scdn.co/image/ab67616d0000b273608a63ad5b18e99da94a3f73,127.853,0,0
40,0.612,0.719,2,-7.026,1,0.0398,0.366,3.88e-06,0.437,0.744,141.016,4,Any Time At All ,8,A Hard Day's Night,1964-07-10,https://i.scdn.co/image/ab67616d0000b273e230f303815e82a86713eedd,131.28,0,0
67,0.373,0.934,9,-6.753,1,0.0591,0.116,0.00445,0.0962,0.918,136.037,4,Dizzy Miss Lizzy ,14,Help!,1965-08-06,https://i.scdn.co/image/ab67616d0000b273e3e3b64cea45265469d4cafa,176.507,0,1
160,0.406,0.219,7,-13.155,1,0.0359,0.808,0.599,0.15,0.271,105.345,4,Yellow Submarine In Pepperland ,13,Yellow Submarine,1969-01-17,https://i.scdn.co/image/ab67616d0000b273d283808926ad3d2220e63c1c,134.02700000000002,0,1
59,0.516,0.638,9,-7.453,1,0.0314,0.238,0.0,0.333,0.822,88.657,4,Another Girl ,5,Help!,1965-08-06,https://i.scdn.co/image/ab67616d0000b273e3e3b64cea45265469d4cafa,125.36,0,0
45,0.631,0.424,6,-9.106,1,0.0438,0.796,0.000143,0.118,0.589,126.127,5,Mr Moonlight ,6,Beatles For Sale,1964-12-04,https://i.scdn.co/image/ab67616d0000b27355612ece447bec5d62c68375,158.627,0,0
126,0.619,0.625,7,-9.635,1,0.036,0.0119,1.05e-06,0.152,0.467,96.751,4,"Baby, You're A Rich Man ",10,Magical Mystery Tour,1967-11-27,https://i.scdn.co/image/ab67616d0000b273692d9189b2bd75525893f0c1,181.307,0,0
113,0.724,0.456,0,-10.587,1,0.0748,0.412,0.0928,0.198,0.32,127.521,4,Getting Better ,4,Sgt. Pepper's Lonely Hearts Club Band,1967-06-01,https://i.scdn.co/image/ab67616d0000b27348eeac769c253bfc05a0d1fc,138.53300000000002,0,0
